id_gates,X,Y,Z
0,0.98291015625,0.027099609375,0.0068359375
9,0.9775390625,0.018310546875,0.01318359375
18,0.9677734375,-0.0087890625,0.05224609375
27,0.951904296875,0.004150390625,0.021484375
36,0.951171875,0.016845703125,0.0537109375
45,0.939697265625,-0.013916015625,0.033935546875
54,0.919189453125,-0.013427734375,0.013427734375
63,0.9169921875,-0.033447265625,0.032470703125
72,0.910888671875,-0.026611328125,0.0478515625
81,0.8994140625,-0.03515625,0.030029296875
90,0.89013671875,-0.045166015625,0.045654296875
99,0.884033203125,-0.081787109375,0.037353515625
108,0.862060546875,-0.089599609375,0.047119140625
117,0.843505859375,-0.093505859375,0.039794921875
126,0.84619140625,-0.10888671875,0.05859375
135,0.84423828125,-0.133056640625,0.04345703125
144,0.83251953125,-0.15869140625,0.035888671875
153,0.820068359375,-0.15771484375,0.0556640625
162,0.819091796875,-0.162841796875,0.051025390625
171,0.82763671875,-0.178466796875,0.053466796875
180,0.826416015625,-0.2275390625,0.051025390625
189,0.83203125,-0.24267578125,0.06005859375
198,0.83203125,-0.26318359375,0.0546875
207,0.82958984375,-0.2724609375,0.0732421875
216,0.838134765625,-0.30029296875,0.047119140625
225,0.838623046875,-0.303466796875,0.0546875
234,0.84326171875,-0.287109375,0.056640625
243,0.834716796875,-0.330810546875,0.043701171875
252,0.835205078125,-0.3203125,0.04931640625
261,0.82470703125,-0.30517578125,0.061279296875
270,0.854736328125,-0.322509765625,0.042236328125
279,0.83935546875,-0.327392578125,0.0595703125
288,0.852294921875,-0.349853515625,0.05908203125
297,0.841552734375,-0.363037109375,0.054443359375
306,0.835693359375,-0.34912109375,0.068603515625
315,0.82275390625,-0.343505859375,0.063720703125
324,0.794189453125,-0.349365234375,0.0703125
333,0.791015625,-0.356689453125,0.04541015625
342,0.7763671875,-0.366943359375,0.066162109375
351,0.7724609375,-0.355712890625,0.05126953125
360,0.74658203125,-0.36669921875,0.0830078125
369,0.753662109375,-0.357666015625,0.05810546875
378,0.733642578125,-0.356689453125,0.069091796875
387,0.728271484375,-0.3642578125,0.062255859375
396,0.694580078125,-0.402587890625,0.090576171875
405,0.699951171875,-0.4091796875,0.074951171875
414,0.66162109375,-0.423095703125,0.069091796875
423,0.6513671875,-0.421875,0.065185546875
432,0.659423828125,-0.447509765625,0.076171875
441,0.643310546875,-0.4619140625,0.065673828125
