id_gates,X,Y,Z
0,0.03759765625,0.984619140625,0.01953125
9,0.029541015625,0.975830078125,0.024169921875
18,0.064453125,0.961669921875,0.030029296875
27,0.04638671875,0.951416015625,0.00927734375
36,0.049072265625,0.92626953125,0.010009765625
45,0.037841796875,0.908935546875,0.017333984375
54,0.056640625,0.885986328125,0.027099609375
63,0.068603515625,0.874755859375,0.033203125
72,0.068359375,0.853759765625,0.0048828125
81,0.090576171875,0.822998046875,0.014404296875
90,0.104736328125,0.798828125,0.027099609375
99,0.134521484375,0.7783203125,0.012451171875
108,0.144287109375,0.737548828125,0.05810546875
117,0.13623046875,0.71728515625,0.045166015625
126,0.169921875,0.66552734375,0.069580078125
135,0.16796875,0.646484375,0.03271484375
144,0.16357421875,0.6142578125,0.036865234375
153,0.192138671875,0.583740234375,0.04541015625
162,0.171875,0.55712890625,0.034423828125
171,0.19677734375,0.54248046875,0.0263671875
180,0.201171875,0.500732421875,0.03955078125
189,0.235595703125,0.465576171875,0.04833984375
198,0.2041015625,0.4541015625,0.0419921875
207,0.21240234375,0.419677734375,0.040283203125
216,0.20751953125,0.371826171875,0.020751953125
225,0.20068359375,0.3544921875,0.043212890625
234,0.18798828125,0.322265625,0.051513671875
243,0.168212890625,0.293701171875,0.029541015625
252,0.16455078125,0.2705078125,0.06787109375
261,0.13330078125,0.196533203125,0.05126953125
270,0.1181640625,0.16650390625,0.0546875
279,0.111083984375,0.1484375,0.05419921875
288,0.086669921875,0.085205078125,0.029541015625
297,0.06201171875,0.080322265625,0.058349609375
306,0.057373046875,0.036865234375,0.052978515625
315,0.0302734375,-0.004150390625,0.052734375
324,0.016357421875,-0.049072265625,0.053955078125
333,-0.011474609375,-0.093505859375,0.067626953125
342,-0.0341796875,-0.09765625,0.052978515625
351,-0.0615234375,-0.142333984375,0.050537109375
360,-0.05322265625,-0.166015625,0.064453125
369,-0.072509765625,-0.1962890625,0.056884765625
378,-0.113525390625,-0.2099609375,0.054931640625
387,-0.13037109375,-0.241943359375,0.053955078125
396,-0.169921875,-0.25634765625,0.06787109375
405,-0.18017578125,-0.27587890625,0.072998046875
414,-0.205078125,-0.3095703125,0.07421875
423,-0.228515625,-0.336181640625,0.058349609375
432,-0.269287109375,-0.351318359375,0.061767578125
441,-0.287353515625,-0.3369140625,0.05419921875
