t_us,X_mean,Y_mean,Z_mean,X_std,Y_std,Z_std
0.0,0.966796875,0.0234375,-0.029296875,0.007985815213199559,0.031241415752123358,0.03123658607599182
2.9999999999999996,0.9375,0.0,0.0,0.010874539771152386,0.03125,0.03125
5.999999999999999,0.892578125,-0.04296875,-0.00390625,0.014090399087908323,0.031221138023709905,0.031249761580511397
8.999999999999998,0.900390625,-0.080078125,-0.009765625,0.013596325991994144,0.031149643449135747,0.031248509848351785
11.999999999999998,0.859375,-0.072265625,0.05078125,0.01597955876167341,0.031168294428495853,0.031209681250506865
14.999999999999998,0.830078125,-0.076171875,0.0234375,0.01742647238658234,0.03115920944850879,0.031241415752123358
17.999999999999996,0.787109375,-0.080078125,0.08203125,0.019275420304551052,0.031149643449135747,0.031144679929540346
21.0,0.775390625,-0.140625,-0.02734375,0.019733809093779035,0.03093946662586111,0.03123831530511051
23.999999999999996,0.77734375,-0.072265625,0.0390625,0.019658627000948947,0.031168294428495853,0.03122614904019731
27.0,0.71875,-0.130859375,0.013671875,0.021727144005163075,0.030981279377233672,0.0312470792359122
29.999999999999996,0.65234375,-0.083984375,0.0234375,0.02368510112844745,0.031139595987073176,0.031241415752123358
32.99999999999999,0.62890625,-0.142578125,0.0234375,0.024296285738653035,0.03093073597571672,0.031241415752123358
35.99999999999999,0.490234375,-0.166015625,0.0546875,0.02723720774797962,0.030816347570625766,0.031203234967003113
39.0,0.4765625,-0.169921875,0.044921875,0.02747314355494783,0.03079554801803244,0.031218453219724288
42.0,0.423828125,-0.140625,0.046875,0.028304457336888248,0.03093946662586111,0.031215648844579315
44.99999999999999,0.384765625,-0.115234375,0.07421875,0.028844197142700846,0.031041822827776306,0.0311638120391107
47.99999999999999,0.30078125,-0.07421875,0.046875,0.029802911188031234,0.0311638120391107,0.031215648844579315
50.99999999999999,0.3125,-0.130859375,0.068359375,0.029684929987442703,0.030981279377233672,0.031176898809605554
54.0,0.244140625,-0.068359375,0.080078125,0.030304369966830405,0.031176898809605554,0.031149643449135747
56.99999999999999,0.1953125,-0.07421875,0.06640625,0.030648158134142105,0.0311638120391107,0.031181020900781585
59.99999999999999,0.19921875,-0.046875,0.072265625,0.030623595147121478,0.031215648844579315,0.031168294428495853
63.0,0.10546875,-0.046875,0.05078125,0.031075706805955117,0.031215648844579315,0.031209681250506865
65.99999999999999,0.046875,0.0078125,0.0625,0.031215648844579315,0.031249046311131234,0.031188905122404905
69.0,0.013671875,0.04296875,0.076171875,0.0312470792359122,0.031221138023709905,0.03115920944850879
71.99999999999999,-0.0546875,0.037109375,0.126953125,0.031203234967003113,0.031228475310239777,0.030997147425029264
75.0,-0.041015625,0.068359375,0.107421875,0.031223703287380538,0.031176898809605554,0.03106917277378258
78.0,-0.1171875,0.08203125,0.091796875,0.03103468148580773,0.031144679929540346,0.031118054787063695
80.99999999999999,-0.146484375,0.14453125,0.16015625,0.030912905752632697,0.03092188238651752,0.03084661485533124
84.0,-0.16796875,0.138671875,0.158203125,0.03080601001351158,0.03094807444099638,0.030856455894217524
86.99999999999999,-0.216796875,0.1796875,0.10546875,0.030506772989496132,0.0307413669656022,0.031075706805955117
89.99999999999999,-0.248046875,0.1875,0.197265625,0.030273375972562223,0.03069576883887053,0.030635939901778597
93.0,-0.1953125,0.2421875,0.109375,0.030648158134142105,0.030319670782692373,0.031062517438611176
95.99999999999999,-0.25,0.228515625,0.115234375,0.030257682392245445,0.030423132664213835,0.031041822827776306
99.0,-0.25,0.201171875,0.150390625,0.030257682392245445,0.03061112371710025,0.030894582920318235
101.99999999999999,-0.2890625,0.306640625,0.16015625,0.029915944599869987,0.0297445426832085,0.03084661485533124
104.99999999999999,-0.29296875,0.337890625,0.16015625,0.029878813033395537,0.029412043224797107,0.03084661485533124
108.0,-0.302734375,0.29296875,0.080078125,0.02978359280844829,0.029878813033395537,0.031149643449135747
110.99999999999999,-0.23828125,0.267578125,0.154296875,0.030349881040915017,0.030110505249632866,0.030875766601775236
113.99999999999999,-0.296875,0.30859375,0.119140625,0.029841135919135786,0.029724810394503726,0.03102741843594828
116.99999999999999,-0.27734375,0.337890625,0.142578125,0.030024086104689582,0.029412043224797107,0.03093073597571672
119.99999999999999,-0.326171875,0.30859375,0.185546875,0.029540952572085343,0.029724810394503726,0.03070735669275982
122.99999999999999,-0.2734375,0.318359375,0.232421875,0.03005905537687681,0.02962406558965473,0.030394220899432195
126.0,-0.3046875,0.37109375,0.205078125,0.02976413673024351,0.029018606448717087,0.030585800209565507
129.0,-0.267578125,0.373046875,0.19921875,0.030110505249632866,0.028994140522212605,0.030623595147121478
131.99999999999997,-0.296875,0.333984375,0.203125,0.029841135919135786,0.029455581582828665,0.03059852545682285
134.99999999999997,-0.251953125,0.3671875,0.236328125,0.030241857485004048,0.029067092040504536,0.030364790872657414
138.0,-0.28515625,0.345703125,0.263671875,0.029952532647473832,0.029323248118847386,0.0301441384735164
140.99999999999997,-0.263671875,0.390625,0.220703125,0.0301441384735164,0.028767184221983273,0.03047940728063687
143.99999999999997,-0.232421875,0.392578125,0.220703125,0.030394220899432195,0.028741208162703254,0.03047940728063687
147.0,-0.255859375,0.34765625,0.265625,0.03020981286251365,0.02930068944894527,0.03012738838066865
