id_gates,X,Y,Z
0,0.011962890625,-0.960693359375,-0.00341796875
9,0.002197265625,-0.955322265625,0.025390625
18,-0.018310546875,-0.936279296875,0.039794921875
27,-0.01708984375,-0.9326171875,0.031005859375
36,-0.010986328125,-0.90380859375,0.0380859375
45,-0.022705078125,-0.891845703125,0.022216796875
54,-0.041259765625,-0.866943359375,0.010498046875
63,-0.055908203125,-0.836669921875,0.031982421875
72,-0.0537109375,-0.82666015625,0.015625
81,-0.06396484375,-0.8056640625,0.033203125
90,-0.0732421875,-0.775634765625,0.007080078125
99,-0.092529296875,-0.729736328125,0.015869140625
108,-0.102783203125,-0.712890625,0.039306640625
117,-0.106689453125,-0.68701171875,0.00830078125
126,-0.106689453125,-0.661376953125,0.0166015625
135,-0.126220703125,-0.638916015625,0.024169921875
144,-0.135498046875,-0.586669921875,0.0419921875
153,-0.147216796875,-0.57080078125,0.037353515625
162,-0.117919921875,-0.5439453125,0.034423828125
171,-0.14794921875,-0.510009765625,0.048095703125
180,-0.14697265625,-0.489990234375,0.0517578125
189,-0.1298828125,-0.457763671875,0.044921875
198,-0.147705078125,-0.42724609375,0.03564453125
207,-0.144775390625,-0.416015625,0.050537109375
216,-0.1396484375,-0.371826171875,0.049072265625
225,-0.13916015625,-0.348388671875,0.03857421875
234,-0.096435546875,-0.304931640625,0.033935546875
243,-0.104248046875,-0.290283203125,0.0576171875
252,-0.0849609375,-0.224853515625,0.038818359375
261,-0.055419921875,-0.216796875,0.053466796875
270,-0.0390625,-0.166015625,0.03857421875
279,-0.04833984375,-0.126708984375,0.0546875
288,-0.015625,-0.10205078125,0.052734375
297,0.0107421875,-0.03369140625,0.07958984375
306,0.029541015625,-0.043212890625,0.0556640625
315,0.042236328125,0.007080078125,0.0556640625
324,0.07861328125,0.058349609375,0.057861328125
333,0.08056640625,0.073486328125,0.052490234375
342,0.116455078125,0.1083984375,0.049072265625
351,0.122802734375,0.1220703125,0.082763671875
360,0.149169921875,0.16748046875,0.040283203125
369,0.166748046875,0.193359375,0.055419921875
378,0.19775390625,0.2255859375,0.047607421875
387,0.211669921875,0.234375,0.056884765625
396,0.24560546875,0.275146484375,0.060791015625
405,0.2783203125,0.288818359375,0.053955078125
414,0.291015625,0.301025390625,0.05224609375
423,0.317138671875,0.318603515625,0.09375
432,0.337890625,0.322265625,0.07373046875
441,0.357177734375,0.32080078125,0.05419921875
