t_us,X_mean,Y_mean,Z_mean,X_std,Y_std,Z_std
0.0,0.966796875,-0.03515625,-0.0234375,0.007985815213199559,0.03123068212420757,0.031241415752123358
2.9999999999999996,0.8828125,-0.09765625,0.009765625,0.014678923355036537,0.031100631412462436,0.031248509848351785
5.999999999999999,0.798828125,-0.025390625,-0.076171875,0.01879872904169302,0.031239925191004537,0.03115920944850879
8.999999999999998,0.802734375,-0.048828125,-0.087890625,0.01863552353687749,0.0312127248660456,0.031129066596119047
11.999999999999998,0.859375,-0.0859375,0.001953125,0.01597955876167341,0.031134391562742603,0.03124994039529838
14.999999999999998,0.783203125,-0.162109375,0.01171875,0.019430185143663087,0.030836649868847554,0.031247854159113957
17.999999999999996,0.744140625,-0.20703125,-0.017578125,0.020875718789660155,0.030572947816762484,0.03124517165076589
21.0,0.703125,-0.197265625,-0.015625,0.02222082080660694,0.030635939901778597,0.031246185069875306
23.999999999999996,0.734375,-0.09765625,0.06640625,0.021210748661106907,0.031100631412462436,0.031181020900781585
27.0,0.75390625,-0.15234375,0.033203125,0.02053068792540495,0.030885236502642452,0.03123276950742192
29.999999999999996,0.71875,-0.240234375,0.017578125,0.021727144005163075,0.03033484107547903,0.03124517165076589
32.99999999999999,0.70703125,-0.30859375,-0.001953125,0.022099447009560146,0.029724810394503726,0.03124994039529838
35.99999999999999,0.62890625,-0.26171875,0.0078125,0.024296285738653035,0.030160755749828582,0.031249046311131234
39.0,0.603515625,-0.25390625,0.0234375,0.024917224103269568,0.030225901044567616,0.031241415752123358
42.0,0.611328125,-0.205078125,0.02734375,0.02473053850505453,0.030585800209565507,0.03123831530511051
44.99999999999999,0.548828125,-0.26171875,0.064453125,0.02612297557215006,0.030160755749828582,0.031185022989649615
47.99999999999999,0.552734375,-0.283203125,0.099609375,0.026042421647889887,0.0299706234749102,0.03109458184207822
50.99999999999999,0.498046875,-0.287109375,0.09375,0.027098440883979176,0.02993430643827474,0.031112367816550763
54.0,0.4453125,-0.306640625,0.068359375,0.027980475498546407,0.0297445426832085,0.031176898809605554
56.99999999999999,0.466796875,-0.255859375,0.033203125,0.027636392544280394,0.03020981286251365,0.03123276950742192
59.99999999999999,0.505859375,-0.306640625,0.046875,0.02695674871880651,0.0297445426832085,0.031215648844579315
63.0,0.40234375,-0.259765625,0.080078125,0.028609020970569235,0.030177240429013836,0.031149643449135747
65.99999999999999,0.419921875,-0.26171875,0.056640625,0.028361258010772335,0.030160755749828582,0.031199832224853286
69.0,0.357421875,-0.20703125,0.107421875,0.02918572002186701,0.030572947816762484,0.03106917277378258
71.99999999999999,0.3828125,-0.1875,0.083984375,0.02886956438698525,0.03069576883887053,0.031139595987073176
75.0,0.314453125,-0.2734375,0.076171875,0.02966478131005804,0.03005905537687681,0.03115920944850879
78.0,0.271484375,-0.228515625,0.091796875,0.030076338975071705,0.030423132664213835,0.031118054787063695
80.99999999999999,0.228515625,-0.201171875,0.0625,0.030423132664213835,0.03061112371710025,0.031188905122404905
84.0,0.228515625,-0.109375,0.162109375,0.030423132664213835,0.031062517438611176,0.030836649868847554
86.99999999999999,0.255859375,-0.208984375,0.1015625,0.03020981286251365,0.030559968117995634,0.031088411265823138
89.99999999999999,0.1953125,-0.21484375,0.08984375,0.030648158134142105,0.030520263553721335,0.03112362102533146
93.0,0.193359375,-0.177734375,0.107421875,0.030660249995470925,0.030752453089768903,0.03106917277378258
95.99999999999999,0.224609375,-0.1796875,0.1484375,0.030451527643171553,0.0307413669656022,0.030903805966839813
99.0,0.16015625,-0.09375,0.169921875,0.03084661485533124,0.031112367816550763,0.03079554801803244
101.99999999999999,0.16796875,-0.115234375,0.109375,0.03080601001351158,0.031041822827776306,0.031062517438611176
104.99999999999999,0.193359375,-0.08203125,0.1171875,0.030660249995470925,0.031144679929540346,0.03103468148580773
108.0,0.134765625,-0.072265625,0.1328125,0.030964921974534713,0.031168294428495853,0.030973161893160215
110.99999999999999,0.177734375,-0.087890625,0.123046875,0.030752453089768903,0.031129066596119047,0.03101252686907993
113.99999999999999,0.13671875,-0.03515625,0.119140625,0.030956559523589448,0.03123068212420757,0.03102741843594828
116.99999999999999,0.123046875,-0.03125,0.212890625,0.03101252686907993,0.031234737483827102,0.030533626151572204
119.99999999999999,0.10546875,-0.0234375,0.138671875,0.031075706805955117,0.031241415752123358,0.03094807444099638
122.99999999999999,0.107421875,-0.037109375,0.169921875,0.03106917277378258,0.031228475310239777,0.03079554801803244
126.0,0.076171875,-0.044921875,0.19921875,0.03115920944850879,0.031218453219724288,0.030623595147121478
129.0,0.041015625,-0.009765625,0.181640625,0.031223703287380538,0.031248509848351785,0.030730155616407198
131.99999999999997,0.064453125,-0.02734375,0.181640625,0.031185022989649615,0.03123831530511051,0.030730155616407198
134.99999999999997,0.0,0.005859375,0.1796875,0.03125,0.031249463553592625,0.0307413669656022
138.0,-0.015625,0.0703125,0.24609375,0.031246185069875306,0.031172656668516294,0.03028893843008729
140.99999999999997,0.013671875,0.025390625,0.15625,0.0312470792359122,0.031239925191004537,0.030866173104060757
143.99999999999997,0.0390625,0.052734375,0.1875,0.03122614904019731,0.031206517962958015,0.03069576883887053
147.0,-0.041015625,0.09375,0.1953125,0.031223703287380538,0.031112367816550763,0.030648158134142105
